block,formation_temperature,formation_pressure,pre_injection_pressure,pressure_level,permeability,oil_viscosity,oil_density,effective_thickness,fracturing,well_spacing,porosity,oil_saturation,PV_number
庄13块,91.0,21.8,6.5,0.3,16.6,31.16875,0.8747,6.4,1,375.0,16.0,59.28,0.00604
庄13块,91.0,21.8,6.5,0.3,16.6,31.16875,0.8747,6.4,1,265.0,16.0,59.28,0.0417
马3块,72.0,16.09,8.5,0.53,97.42499999999998,5.37,0.796,4.4,0,260.0,17.0,58.2,0.01268
马3块,72.0,16.09,8.5,0.53,97.42499999999998,5.37,0.796,4.4,0,200.0,17.0,58.2,0.01807
马3块,72.0,16.0,6.4,0.4,97.42499999999998,5.37,0.796,8.2,0,168.0,17.0,58.2,0.00779
马35块,73.0,14.69,4.0,0.27,54.2,4.48,0.7873,8.4,0,240.0,23.5,66.0,0.01282
马35块,73.0,14.69,4.0,0.27,54.2,4.48,0.7873,8.4,0,180.0,23.5,66.0,0.01429
马35块,73.0,14.85,4.9,0.33,54.2,4.48,0.7873,4.8,0,260.0,23.5,66.0,0.07825
马38块,80.0,19.5,7.5,0.38,15.7,12.55,0.749,4.3,0,290.0,17.6,57.1,0.00407
马38块,80.0,19.5,7.5,0.38,15.7,12.55,0.749,4.3,0,320.0,17.6,57.1,0.00835
马38块,80.0,19.5,7.5,0.38,15.7,12.55,0.749,4.3,0,315.0,17.6,57.1,0.00835
马38块,80.0,19.5,7.5,0.38,15.7,12.55,0.749,4.3,0,310.0,17.6,57.1,0.0246
唐5块,87.0,23.0,6.9,0.3,35.0,26.66,0.8555,2.8,1,285.0,16.2,52.05,0.00251
唐5块,87.0,23.0,6.9,0.3,35.0,26.66,0.8555,2.8,1,240.0,16.2,52.05,0.00251
唐5块,87.0,23.0,6.9,0.3,35.0,26.66,0.8555,2.8,1,320.0,16.2,52.05,0.00579
天95块,84.0,23.09,16.6,0.72,38.0,31.16875,0.766,16.8,1,220.0,17.5,61.01,0.00733
天95块,84.0,23.09,16.6,0.72,38.0,31.16875,0.766,16.8,1,153.0,17.5,61.01,0.02595
天95块,84.0,23.09,18.4,0.8,38.0,31.16875,0.766,8.7,0,147.0,17.5,61.01,0.00302
天95块,84.0,23.09,18.4,0.8,38.0,31.16875,0.766,8.7,0,327.0,17.5,61.01,0.00806
天95块,84.0,23.09,16.6,0.72,38.0,31.16875,0.766,16.2,0,200.0,17.5,61.01,0.00386
天95块,84.0,23.09,16.6,0.72,38.0,31.16875,0.766,16.2,0,180.0,17.5,61.01,0.01034
天95块,84.0,23.09,16.6,0.72,38.0,31.16875,0.766,16.2,0,300.0,17.5,61.01,0.01034
邵23块,87.0,23.61,4.25,0.18,50.0,13.5,0.7612,18.3,0,280.0,16.45,57.7,0.00769
邵23块,87.0,23.61,4.25,0.18,50.0,13.5,0.7612,18.3,0,230.0,16.45,57.7,0.00382
邵23块,87.0,23.61,4.25,0.18,50.0,13.5,0.7612,18.3,0,280.0,16.45,57.7,0.00796
邵23块,87.0,23.61,4.25,0.18,50.0,13.5,0.7612,18.3,0,482.75,16.45,57.7,0.00943
邵24块,90.0,23.61,14.17,0.6,50.0,0.849,0.70082,16.9,0,230.0,16.45,57.7,0.01752
联38块,101.0,28.75,14.38,0.5,16.46,12.0,0.7717,8.4,0,235.0,13.16,61.58,0.00257
联38块,101.0,28.75,14.38,0.5,16.46,12.0,0.7717,8.4,0,340.0,13.16,61.58,0.01431
联38块,101.0,28.75,14.38,0.5,16.46,12.0,0.7717,8.4,0,470.0,13.16,61.58,0.00683
联38块,101.0,28.75,14.38,0.5,16.46,12.0,0.7717,15.66,0,230.0,13.16,61.58,0.03061
崔9块,71.3,16.3,8.22,0.5,45.9,7.98,0.8301,10.0,1,350.0,19.0,54.38,0.00172
崔9块,71.3,16.3,8.22,0.5,45.9,7.98,0.8301,10.0,1,300.0,19.0,54.38,0.00727
花32块,104.0,27.35,10.94,0.4,34.0,31.16875,0.831,10.4,0,280.0,14.8,58.8,0.02172
花32块,104.0,27.35,10.94,0.4,34.0,31.16875,0.831,10.4,0,220.0,14.8,58.8,0.04845
花26块,112.0,34.39,8.5,0.25,3.55,0.7934,0.9634999999999999,13.7,1,274.0,15.7,53.3,0.02092
花26块,111.7,34.78,8.0,0.23,3.55,0.7934,0.9634999999999999,18.3,0,347.0,15.7,53.3,0.0106
花26块,111.7,34.78,8.0,0.23,3.55,0.7934,0.9634999999999999,18.3,0,263.0,15.7,53.3,0.03831
花26块,111.7,34.78,8.0,0.23,3.55,0.7934,0.9634999999999999,18.3,0,221.0,15.7,53.3,0.00975
腰英台,97.8,26.63,8.9,0.33,1.9,2.0,0.77,5.5,1,250.0,12.66,41.0,0.05702
芳-48,85.9,29.0,20.4,0.7,1.4,5.6,0.805,9.2,1,300.0,12.5,59.0,0.03827
高 89-4,126.0,28.94,23.2,0.8,4.7,1.59,0.739,10.6,1,482.75,12.5,62.5,0.00795
黑59,98.9,22.3,20.0,0.9,3.57,1.86,0.762,7.2,0,440.0,12.77,44.63,0.006
富-14,76.0,21.6,17.0,0.79,5.7,2.43,0.82,6.1,1,250.0,23.4,66.0,0.07967
黄3,85.0,20.78,19.74,0.95,0.39,0.73,0.722,13.0,0,480.0,7.1,72.3,0.01012
草舍,119.0,29.34,32.06,1.0927,24.77,7.0,0.822,17.0,1,250.0,13.21,30.8,0.01576
濮1-1井组,81.83,29.5,19.4,0.66,3.61,1.82,0.753,2.4,0,200.0,24.260000000000005,81.5,0.07967
树101,98.5,32.3,22.05,0.7875,1.06,3.6,0.79,7.7,0,300.0,10.0,50.0,0.0551
Weyburn（加拿大）,62.0,14.5,12.0,0.83,30.0,5.0,0.81,30.0,1,400.0,15.0,40.0,0.0387
Permian Basin（美国）,95.0,25.0,21.0,0.84,97.42499999999998,4.5,0.79,35.0,1,450.0,7.76,35.0,0.0425
DOLLARHIDE,48.89,22.06,22.75,1.03,9.0,0.4,0.825,14.63,1,402.0,17.0,25.0,0.11
EAST VACUUM,38.3,13.79,11.12,0.81,11.0,1.0,0.835,21.64,1,284.0,11.7,30.0,0.3
FORD GERALDINE,32.512499999999996,9.7,10.3,1.06,64.0,1.4,0.825,7.01,1,285.0,23.0,52.3,0.3
NORTH CROSS,41.1,17.24,11.03,0.64,5.0,0.4,0.806,18.29,0,402.0,22.0,65.0,0.55
NORTHEAST PURDY,64.4,16.5,21.03,1.27,44.0,1.5,0.85,12.19,0,285.0,13.0,82.0,0.4
RANGELY,71.1,20.0,18.62,0.931,28.0,1.6,0.865,33.53,1,285.0,15.0,33.0,0.3
SACROC (17 PATTERN),54.4,19.94,21.52,1.08,3.0,0.4,0.819,36.14375,1,482.75,9.4,26.0,0.3
SACROC (4 PATTERN),54.4,16.55,11.03,0.67,19.0,0.4,0.819,36.14375,1,400.0,7.6,36.0,0.3
SOUTH WELCH,33.3,16.55,15.17,0.92,13.9,2.3,0.855,36.14375,0,240.0,12.8,30.0,0.3
TWOFREDS,40.0,21.27,16.44,0.77,33.4,1.4,0.845,5.49,1,213.0,20.3,57.0,0.25
WERTZ,73.8,22.75,20.23,0.89,16.0,1.3,0.85,36.14375,1,465.5,10.7,86.28875,0.4
GARBER,35.0,8.62,1.52,0.17,57.0,2.1,0.793,6.4,0,102.0,17.0,25.0,0.5567724999999999
LITTLE CREEK,120.0,41.4,34.97500000000001,0.86,75.0,0.4,0.83,9.14,1,400.0,23.4,44.0,0.35
MALJAMAR,32.512499999999996,11.6,9.0,0.78,13.2,0.8,0.845,14.94,0,85.0,10.0,30.0,0.5567724999999999
NORTH COLES LEVEE,112.8,27.58,19.31,0.7,9.0,0.5,0.845,36.14375,0,200.0,15.0,57.0,0.3
QUARANTINE BAY,83.9,18.6,24.4,1.31,97.42499999999998,0.9,0.865,4.57,0,160.0,24.260000000000005,38.0,0.5567724999999999
SLAUGHTER ESTATE,40.6,17.24,15.16,0.88,8.0,2.0,0.865,22.86,1,320.0,12.0,36.0,0.19
